;group;user;task_id;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~3;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;33.33;0.0;0.0;4.0;0.061887;2.13;3;1.0;2019-09-09 13:57:42.045015-04:00;72.94;32.0;16.0;29.0;31.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~8. Combine 2 Ramps~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;44.44;0.0;0.0;3.25;0.068608;2.02;1;1.0;2019-09-09 13:58:55.405365-04:00;83.21;32.0;14.0;24.0;31.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;55.56;0.0;0.0;2.8;0.128647;2.57;2;1.0;2019-09-09 14:00:18.912969-04:00;360.73;139.0;14.0;28.0;41.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Square Cross-Sections~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;66.67;0.0;0.0;2.5;0.199714;3.2;1;1.0;2019-09-09 14:06:19.293103-04:00;413.52;164.0;21.0;40.0;58.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bird Fez~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bird Fez;66.67;11.11;0.0;2.29;0.156674;3.63;1;1.0;2019-09-09 14:13:12.491502-04:00;177.12;279.0;26.0;59.0;207.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pi Henge~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;66.67;22.22;0.0;2.25;0.067346;2.22;1;1.0;2019-09-09 14:16:07.487901-04:00;12.47;73.0;75.0;72.0;72.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~45-Degree Rotations~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;66.67;33.33;0.0;2.11;0.096715;2.74;1;1.0;2019-09-09 14:16:19.943516-04:00;5.86;35.0;37.0;34.0;34.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;66.67;44.44;0.0;2.0;0.1796;4.0;1;1.0;2019-09-09 14:16:25.811744-04:00;14.79;88.0;90.0;87.0;87.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;66.67;55.56;0.0;1.91;0.266198;4.97;1;0.0;2019-09-09 14:16:40.587532-04:00;2.36;16.0;18.0;15.0;15.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;66.67;55.56;0.0;2.0;0.1796;4.0;2;1.0;2019-09-09 14:16:42.954154-04:00;13.65;60.0;62.0;59.0;59.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;66.67;55.56;0.0;1.92;0.266198;4.97;2;0.0;2019-09-09 14:16:59.408999-04:00;59.8;4.0;6.0;3.0;3.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~3;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;66.67;55.56;0.0;2.08;0.266198;4.97;3;1.0;2019-09-10 13:27:16.295043-04:00;834.17;297.0;60.0;103.0;133.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;66.67;66.67;0.0;2.0;0.257177;2.71;1;1.0;2019-09-10 13:40:39.894777-04:00;234.72;94.0;19.0;34.0;50.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;66.67;77.78;0.0;1.93;0.257177;2.71;2;1.0;2019-09-10 13:44:34.784003-04:00;42.67;19.0;21.0;18.0;18.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tetromino~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;66.67;77.78;0.0;1.87;0.226869;0.0;1;1.0;2019-09-10 13:46:08.981508-04:00;87.62;14.0;16.0;13.0;13.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Angled Silhouette~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Angled Silhouette;66.67;77.78;7.69;1.81;0.147673;2.21;1;1.0;2019-09-10 13:46:45.283227-04:00;64.91;26.0;16.0;25.0;25.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;66.67;88.89;7.69;1.76;0.085909;1.44;2;1.0;2019-09-10 13:47:50.161840-04:00;216.31;92.0;9.0;16.0;25.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Stranger Shapes~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Stranger Shapes;66.67;88.89;15.38;1.72;0.283971;4.31;1;1.0;2019-09-10 13:51:26.018549-04:00;116.95;61.0;33.0;60.0;60.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tall and Small~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tall and Small;66.67;88.89;23.08;1.68;0.266869;4.44;1;1.0;2019-09-10 13:53:22.263676-04:00;557.94;274.0;43.0;75.0;107.0
