;group;user;task_id;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3;n_check_solution;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~3. Rotate a Pyramid~1;4fe25833f555e9903d2bb6bbeec3fbfb;24484165b531c64c3151df9e29945731;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-26 16:00:34.797998-04:00;283.26;53.0;6.0;7.0;7.0;8.0;3.0;0.0;0.0;21.0;NA;34.12
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~4. Match Silhouettes~1;4fe25833f555e9903d2bb6bbeec3fbfb;24484165b531c64c3151df9e29945731;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-26 16:05:19.121714-04:00;216.29;67.0;17.0;34.0;42.0;3.0;3.0;0.0;5.0;41.0;NA;68.02
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~1. One Box~1;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;1. One Box;2e-06;1.09;1;1.0;2019-09-26 15:56:20.816474-04:00;36.05;12.0;11.0;11.0;11.0;1.0;0.0;0.0;0.0;1.0;NA;16.16
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~2. Separated Boxes~1;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-26 15:56:44.443817-04:00;33.94;13.0;12.0;12.0;12.0;1.0;0.0;0.0;0.0;3.0;NA;27.06
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~3. Rotate a Pyramid~1;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;3. Rotate a Pyramid;0.083447;1.62;1;0.0;2019-09-26 15:57:17.374801-04:00;173.4;130.0;10.0;18.0;31.0;3.0;1.0;1.0;0.0;42.0;132.64;36.08
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~Bear Market~1;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;Bear Market;1.0;20.76;1;0.0;2019-09-26 16:00:17.557910-04:00;53.04;19.0;21.0;18.0;18.0;1.0;1.0;0.0;0.0;6.0;3.37;40.26
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~3. Rotate a Pyramid~2;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;3. Rotate a Pyramid;0.083447;1.62;2;1.0;2019-09-26 16:01:10.036598-04:00;180.96;74.0;11.0;12.0;14.0;5.0;3.0;0.0;31.0;10.0;NA;34.05
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~4. Match Silhouettes~1;4fe25833f555e9903d2bb6bbeec3fbfb;2d3db94690a19a62a0942fbd6ac30308;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-26 16:04:05.574551-04:00;104.76;104.0;42.0;75.0;94.0;1.0;0.0;0.0;35.0;30.0;NA;99.5
4fe25833f555e9903d2bb6bbeec3fbfb~bfc0042bbe42e56ce5a8d2d9b8c0f4e4~1. One Box~1;4fe25833f555e9903d2bb6bbeec3fbfb;bfc0042bbe42e56ce5a8d2d9b8c0f4e4;1. One Box;2e-06;1.09;1;1.0;2019-09-26 16:00:12.024082-04:00;41.33;12.0;11.0;11.0;11.0;1.0;1.0;0.0;0.0;1.0;NA;16.89
4fe25833f555e9903d2bb6bbeec3fbfb~bee2a34ccb9b04e94c012b32c0228791~1. One Box~1;4fe25833f555e9903d2bb6bbeec3fbfb;bee2a34ccb9b04e94c012b32c0228791;1. One Box;2e-06;1.09;1;1.0;2019-09-26 16:02:03.658914-04:00;145.57;32.0;29.0;29.0;29.0;1.0;2.0;0.0;0.0;8.0;NA;65.78
4fe25833f555e9903d2bb6bbeec3fbfb~bee2a34ccb9b04e94c012b32c0228791~2. Separated Boxes~1;4fe25833f555e9903d2bb6bbeec3fbfb;bee2a34ccb9b04e94c012b32c0228791;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-26 16:03:15.541536-04:00;230.25;56.0;14.0;19.0;19.0;5.0;5.0;0.0;0.0;37.0;NA;75.51
4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~1. One Box~1;4fe25833f555e9903d2bb6bbeec3fbfb;e3d9bb1dbe4394feac89c0974e04a53f;1. One Box;2e-06;1.09;1;1.0;2019-09-26 16:02:08.147102-04:00;36.75;15.0;14.0;14.0;14.0;1.0;0.0;0.0;0.0;1.0;NA;18.92
4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~2. Separated Boxes~1;4fe25833f555e9903d2bb6bbeec3fbfb;e3d9bb1dbe4394feac89c0974e04a53f;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-26 16:02:32.626103-04:00;66.88;29.0;11.0;25.0;28.0;2.0;0.0;0.0;0.0;6.0;NA;30.66
4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~3. Rotate a Pyramid~1;4fe25833f555e9903d2bb6bbeec3fbfb;e3d9bb1dbe4394feac89c0974e04a53f;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-26 16:03:40.209668-04:00;144.89;99.0;26.0;41.0;49.0;4.0;0.0;0.0;0.0;42.0;NA;34.62
4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~4. Match Silhouettes~1;4fe25833f555e9903d2bb6bbeec3fbfb;e3d9bb1dbe4394feac89c0974e04a53f;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-26 16:06:03.891500-04:00;59.01;30.0;22.0;29.0;29.0;1.0;0.0;3.0;0.0;8.0;NA;53.73
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;1. One Box;2e-06;1.09;1;1.0;2019-10-18 11:46:24.920705-04:00;20.12;8.0;10.0;7.0;7.0;1.0;0.0;0.0;0.0;1.0;NA;9.21
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;2. Separated Boxes;0.111127;1.69;1;1.0;2019-10-18 11:46:37.684846-04:00;19.78;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;3.0;NA;16.79
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-10-18 11:46:57.498440-04:00;30.78;15.0;14.0;14.0;14.0;1.0;0.0;0.0;0.0;4.0;NA;27.36
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-10-18 11:47:28.727295-04:00;18.54;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;3.0;NA;14.66
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;5. Removing Objects;0.106021;2.89;1;1.0;2019-10-18 11:48:02.015188-04:00;145.88;65.0;18.0;43.0;64.0;2.0;1.0;0.0;5.0;25.0;NA;64.03
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-10-18 11:50:13.203990-04:00;26.73;22.0;24.0;21.0;21.0;1.0;0.0;0.0;0.0;8.0;NA;23.25
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;7. Max 2 Boxes;0.078039;1.63;1;1.0;2019-10-18 11:50:39.813081-04:00;61.83;57.0;26.0;48.0;56.0;1.0;0.0;0.0;0.0;22.0;NA;57.39
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;8. Combine 2 Ramps;0.068608;2.02;1;1.0;2019-10-18 11:51:41.566985-04:00;50.88;30.0;18.0;29.0;29.0;1.0;0.0;0.0;6.0;10.0;NA;46.9
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;9. Scaling Round Objects;0.128647;2.57;1;1.0;2019-10-18 11:52:31.946714-04:00;100.15;50.0;25.0;40.0;49.0;1.0;0.0;0.0;1.0;19.0;NA;93.83
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Square Cross-Sections~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Square Cross-Sections;0.199714;3.2;1;1.0;2019-10-18 11:54:13.164882-04:00;158.1;65.0;20.0;40.0;59.0;3.0;0.0;0.0;13.0;25.0;NA;50.31
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Bird Fez~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Bird Fez;0.156674;3.63;1;1.0;2019-10-18 11:56:51.292577-04:00;324.6;141.0;26.0;49.0;72.0;3.0;0.0;0.0;11.0;57.0;NA;106.1
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Pi Henge~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Pi Henge;0.067346;2.22;1;1.0;2019-10-18 12:02:15.447307-04:00;94.89;50.0;19.0;35.0;49.0;2.0;0.0;0.0;5.0;20.0;NA;44.89
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~45-Degree Rotations~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;45-Degree Rotations;0.096715;2.74;1;1.0;2019-10-18 12:03:49.751495-04:00;49.02;30.0;27.0;29.0;29.0;1.0;0.0;0.0;0.0;15.0;NA;44.19
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Pyramids are Strange~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Pyramids are Strange;0.1796;4.0;1;1.0;2019-10-18 12:04:39.185731-04:00;252.63;160.0;37.0;76.0;111.0;7.0;0.0;0.0;4.0;85.0;NA;35.5
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Boxes Obscure Spheres~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Boxes Obscure Spheres;0.266198;4.97;1;1.0;2019-10-18 12:08:51.132438-04:00;320.72;222.0;53.0;100.0;151.0;11.0;0.0;0.0;58.0;71.0;NA;28.7
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Object Limits~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Object Limits;0.257177;2.71;1;1.0;2019-10-18 12:14:15.992336-04:00;255.8;144.0;22.0;50.0;67.0;9.0;0.0;5.0;42.0;41.0;NA;27.52
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Warm Up~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Warm Up;0.183971;0.93;1;1.0;2019-10-18 12:18:27.792769-04:00;41.03;21.0;4.0;10.0;20.0;1.0;0.0;0.0;0.0;6.0;NA;38.31
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Angled Silhouette~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Angled Silhouette;0.147673;2.21;1;1.0;2019-10-18 12:19:08.988389-04:00;31.92;18.0;20.0;17.0;17.0;1.0;0.0;0.0;0.0;4.0;NA;29.1
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Sugar Cones~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Sugar Cones;0.085909;1.44;1;1.0;2019-10-18 12:19:43.349243-04:00;45.01;28.0;17.0;27.0;27.0;1.0;0.0;0.0;4.0;13.0;NA;37.93
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Stranger Shapes~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Stranger Shapes;0.283971;4.31;1;1.0;2019-10-18 12:20:26.210304-04:00;487.95;337.0;47.0;97.0;146.0;23.0;1.0;0.0;41.0;125.0;NA;21.1
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Tall and Small~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Tall and Small;0.266869;4.44;1;0.0;2019-10-23 10:05:08.080150-04:00;20.9;14.0;16.0;13.0;13.0;0.0;1.0;0.0;2.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~More Than Meets Your Eye~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;More Than Meets Your Eye;0.192319;4.66;1;0.0;2019-10-23 10:05:30.632684-04:00;9.15;9.0;11.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Bear Market~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Bear Market;1.0;20.76;1;0.0;2019-10-23 10:05:40.301219-04:00;12.73;5.0;7.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Pyramids are Strange~2;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Pyramids are Strange;0.1796;4.0;2;0.0;2019-10-23 10:05:54.850432-04:00;6.82;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Tall and Small~2;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Tall and Small;0.266869;4.44;2;1.0;2019-10-23 10:11:48.747695-04:00;819.5;258.0;37.0;68.0;92.0;12.0;6.0;0.0;39.0;107.0;NA;66.83
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Ramp Up and Can It~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Ramp Up and Can It;0.206271;2.7;1;1.0;2019-10-23 10:25:16.500658-04:00;210.57;133.0;21.0;42.0;66.0;7.0;0.0;5.0;25.0;54.0;NA;29.59
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~More Than Meets Your Eye~2;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;More Than Meets Your Eye;0.192319;4.66;2;1.0;2019-10-24 12:59:55.940601-04:00;286.07;181.0;118.0;148.0;174.0;2.0;2.0;0.0;21.0;71.0;NA;111.29
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Tall and Small~3;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Tall and Small;0.266869;4.44;3;0.0;2019-10-24 13:03:47.080077-04:00;10.6;5.0;7.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Not Bird~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Not Bird;0.260197;3.92;1;1.0;2019-10-24 13:03:57.188630-04:00;102.99;40.0;26.0;39.0;39.0;4.0;0.0;0.0;0.0;16.0;NA;23.83
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Unnecessary~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Unnecessary;0.76;10.0;1;1.0;2019-10-24 13:05:40.794588-04:00;141.57;55.0;57.0;54.0;54.0;4.0;0.0;0.0;7.0;17.0;NA;33.38
e6af7d42084352a39449e6d0a09b18cd~d2695d1ecd5266079525ebc7d197c5c2~Zzz~1;e6af7d42084352a39449e6d0a09b18cd;d2695d1ecd5266079525ebc7d197c5c2;Zzz;0.234035;2.82;1;1.0;2019-10-24 13:08:02.067543-04:00;328.31;136.0;18.0;36.0;54.0;8.0;0.0;8.0;51.0;36.0;NA;40.08
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;1. One Box;2e-06;1.09;1;1.0;2019-10-18 11:47:42.975428-04:00;110.61;157.0;15.0;53.0;63.0;1.0;0.0;0.0;83.0;35.0;NA;89.91
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;2. Separated Boxes;0.111127;1.69;1;1.0;2019-10-18 11:49:23.467071-04:00;39.34;19.0;18.0;18.0;18.0;1.0;0.0;0.0;2.0;9.0;NA;35.01
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-10-18 11:50:03.718964-04:00;73.24;37.0;15.0;30.0;36.0;4.0;0.0;0.0;5.0;13.0;NA;17.06
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-10-18 11:51:15.336852-04:00;23.04;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;3.0;NA;18.74
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;5. Removing Objects;0.106021;2.89;1;0.0;2019-10-18 11:51:39.262648-04:00;429.19;188.0;18.0;41.0;64.0;8.0;0.0;0.0;31.0;74.0;368.8;53.05
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;6. Stretch a Ramp;0.107035;2.43;1;0.0;2019-10-18 11:58:48.391914-04:00;22.54;11.0;13.0;10.0;10.0;0.0;0.0;0.0;3.0;3.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~5. Removing Objects~2;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;5. Removing Objects;0.106021;2.89;2;1.0;2019-10-18 11:59:11.198382-04:00;30.87;14.0;16.0;13.0;13.0;1.0;0.0;0.0;4.0;2.0;NA;23.48
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~6. Stretch a Ramp~2;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;6. Stretch a Ramp;0.107035;2.43;2;1.0;2019-10-18 11:59:41.808407-04:00;53.35;23.0;19.0;22.0;22.0;2.0;0.0;0.0;0.0;11.0;NA;23.04
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;7. Max 2 Boxes;0.078039;1.63;1;1.0;2019-10-18 12:00:35.391009-04:00;24.35;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;3.0;NA;17.11
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;8. Combine 2 Ramps;0.068608;2.02;1;1.0;2019-10-18 12:00:59.547200-04:00;67.53;31.0;16.0;28.0;30.0;1.0;0.0;0.0;0.0;10.0;NA;60.79
e6af7d42084352a39449e6d0a09b18cd~34df13a769b46a72178b5495e12030ff~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;34df13a769b46a72178b5495e12030ff;9. Scaling Round Objects;0.128647;2.57;1;1.0;2019-10-24 12:58:54.090760-04:00;195.0;101.0;52.0;58.0;85.0;5.0;2.0;2.0;2.0;50.0;NA;6.73
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;1. One Box;2e-06;1.09;1;1.0;2019-10-18 11:49:30.036850-04:00;105.56;38.0;5.0;14.0;35.0;1.0;1.0;0.0;0.0;20.0;NA;51.21
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;2. Separated Boxes;0.111127;1.69;1;1.0;2019-10-18 11:50:27.359198-04:00;437.86;237.0;10.0;44.0;66.0;4.0;0.0;0.0;12.0;195.0;NA;107.98
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-10-18 11:57:46.048282-04:00;22.89;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;2.0;NA;15.52
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-10-18 11:58:08.788828-04:00;23.97;11.0;13.0;10.0;10.0;1.0;0.0;0.0;0.0;3.0;NA;16.81
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;5. Removing Objects;0.106021;2.89;1;1.0;2019-10-18 11:58:32.887759-04:00;244.04;107.0;20.0;38.0;56.0;2.0;0.0;0.0;9.0;27.0;NA;118.66
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-10-18 12:02:36.203628-04:00;98.63;54.0;20.0;40.0;53.0;2.0;0.0;0.0;2.0;29.0;NA;46.83
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;7. Max 2 Boxes;0.078039;1.63;1;1.0;2019-10-18 12:04:14.723352-04:00;21.11;14.0;16.0;13.0;13.0;1.0;0.0;0.0;0.0;5.0;NA;16.38
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;8. Combine 2 Ramps;0.068608;2.02;1;1.0;2019-10-18 12:04:35.782463-04:00;52.29;32.0;20.0;31.0;31.0;1.0;0.0;0.0;7.0;12.0;NA;47.47
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;9. Scaling Round Objects;0.128647;2.57;1;1.0;2019-10-18 12:05:28.238702-04:00;185.23;117.0;26.0;51.0;73.0;1.0;0.0;0.0;2.0;68.0;NA;180.21
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~Sandbox~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Sandbox;1e-06;0.0;1;0.0;2019-10-18 12:08:54.836211-04:00;78.14;42.0;33.0;41.0;41.0;0.0;1.0;0.0;0.0;14.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~Square Cross-Sections~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Square Cross-Sections;0.199714;3.2;1;1.0;2019-10-18 12:12:03.698118-04:00;37.14;20.0;22.0;19.0;19.0;1.0;1.0;0.0;2.0;7.0;NA;35.01
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~Bird Fez~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Bird Fez;0.156674;3.63;1;1.0;2019-10-18 12:12:50.728171-04:00;290.3;121.0;19.0;51.0;66.0;5.0;1.0;0.0;31.0;35.0;NA;55.22
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~Pi Henge~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Pi Henge;0.067346;2.22;1;1.0;2019-10-18 12:17:47.872397-04:00;80.97;37.0;25.0;36.0;36.0;1.0;1.0;0.0;2.0;18.0;NA;52.45
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~45-Degree Rotations~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;45-Degree Rotations;0.096715;2.74;1;1.0;2019-10-18 12:18:56.747923-04:00;142.76;92.0;30.0;54.0;81.0;1.0;0.0;0.0;25.0;31.0;NA;135.1
e6af7d42084352a39449e6d0a09b18cd~8b646f630d19b5df0e56ad347301a533~Pyramids are Strange~1;e6af7d42084352a39449e6d0a09b18cd;8b646f630d19b5df0e56ad347301a533;Pyramids are Strange;0.1796;4.0;1;1.0;2019-10-18 12:21:16.409364-04:00;165.4;109.0;3.0;37.0;66.0;1.0;2.0;0.0;8.0;36.0;NA;230.74
