;group;user;task_id;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3;n_check_solution;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Angled Silhouette~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Angled Silhouette;0.147673;2.21;1;1.0;2019-09-10 13:46:45.283227-04:00;64.91;26.0;16.0;25.0;25.0;1.0;0.0;0.0;0.0;9.0;NA;56.68
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;0.085909;1.44;2;1.0;2019-09-10 13:47:50.161840-04:00;216.31;92.0;9.0;16.0;25.0;1.0;0.0;1.0;21.0;30.0;NA;209.2
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Stranger Shapes~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Stranger Shapes;0.283971;4.31;1;1.0;2019-09-10 13:51:26.018549-04:00;116.95;61.0;33.0;60.0;60.0;1.0;0.0;0.0;13.0;19.0;NA;111.98
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tall and Small~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tall and Small;0.266869;4.44;1;1.0;2019-09-10 13:53:22.263676-04:00;557.94;274.0;43.0;75.0;107.0;6.0;2.0;3.0;125.0;58.0;NA;92.36
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~1. One Box~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;1. One Box;2e-06;1.09;1;1.0;2019-09-09 13:29:58.878709-04:00;43.45;12.0;11.0;11.0;11.0;1.0;1.0;0.0;0.0;1.0;NA;22.02
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~2. Separated Boxes~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-09 13:30:32.800475-04:00;35.9;14.0;13.0;13.0;13.0;1.0;0.0;0.0;0.0;3.0;NA;27.0
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~3. Rotate a Pyramid~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-09 13:31:11.301267-04:00;38.13;12.0;11.0;11.0;11.0;1.0;1.0;0.0;0.0;2.0;NA;28.24
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~4. Match Silhouettes~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-09 13:31:48.114365-04:00;43.53;13.0;12.0;12.0;12.0;1.0;1.0;0.0;0.0;3.0;NA;34.44
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~5. Removing Objects~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;5. Removing Objects;0.106021;2.89;1;1.0;2019-09-09 13:32:28.946061-04:00;447.25;166.0;19.0;36.0;51.0;3.0;1.0;0.0;3.0;34.0;NA;146.56
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~6. Stretch a Ramp~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-09-09 13:39:56.470356-04:00;249.91;94.0;15.0;28.0;41.0;4.0;0.0;1.0;3.0;31.0;NA;59.56
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~7. Max 2 Boxes~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;7. Max 2 Boxes;0.078039;1.63;1;1.0;2019-09-09 13:44:06.913646-04:00;302.37;105.0;10.0;18.0;27.0;2.0;0.0;3.0;16.0;31.0;NA;146.94
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~8. Combine 2 Ramps~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;8. Combine 2 Ramps;0.068608;2.02;1;1.0;2019-09-09 13:49:09.095690-04:00;88.15;36.0;13.0;25.0;35.0;2.0;0.0;0.0;3.0;14.0;NA;40.0
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~9. Scaling Round Objects~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;9. Scaling Round Objects;0.128647;2.57;1;1.0;2019-09-09 13:50:37.049467-04:00;191.98;82.0;17.0;35.0;51.0;5.0;0.0;0.0;25.0;24.0;NA;36.8
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;0.199714;3.2;1;0.0;2019-09-09 13:53:54.864841-04:00;109.35;42.0;22.0;39.0;41.0;1.0;0.0;0.0;2.0;13.0;2.54;45.81
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bear Market~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bear Market;1.0;20.76;1;0.0;2019-09-09 13:55:38.559441-04:00;10.22;5.0;7.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~2;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;0.199714;3.2;2;1.0;2019-09-09 13:55:54.816700-04:00;643.75;227.0;20.0;27.0;28.0;6.0;2.0;0.0;18.0;35.0;NA;116.36
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;0.156674;3.63;1;1.0;2019-09-09 14:07:40.446621-04:00;147.29;58.0;24.0;44.0;57.0;5.0;0.0;0.0;2.0;19.0;NA;27.9
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pi Henge~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pi Henge;0.067346;2.22;1;1.0;2019-09-09 14:10:07.782430-04:00;106.05;43.0;15.0;27.0;41.0;1.0;0.0;0.0;0.0;16.0;NA;98.45
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~45-Degree Rotations~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;45-Degree Rotations;0.096715;2.74;1;1.0;2019-09-09 21:04:55.874008-04:00;356.65;218.0;59.0;109.0;148.0;3.0;0.0;0.0;48.0;74.0;NA;50.04
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Sandbox~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Sandbox;1e-06;0.0;1;0.0;2019-09-09 20:58:15.775176-04:00;79.37;69.0;22.0;64.0;64.0;0.0;4.0;0.0;50.0;5.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~2;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;0.156674;3.63;2;1.0;2019-09-09 21:01:58.249869-04:00;119.32;56.0;38.0;55.0;55.0;1.0;2.0;0.0;14.0;16.0;NA;87.96
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~3;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;0.199714;3.2;3;1.0;2019-09-09 21:03:43.754155-04:00;70.46;38.0;30.0;37.0;37.0;1.0;0.0;0.0;6.0;9.0;NA;45.87
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pyramids are Strange~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pyramids are Strange;0.1796;4.0;1;1.0;2019-09-10 13:33:35.189998-04:00;81.99;37.0;36.0;36.0;36.0;1.0;2.0;0.0;1.0;15.0;NA;76.91
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Boxes Obscure Spheres~1;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Boxes Obscure Spheres;0.266198;4.97;1;0.0;2019-09-10 13:34:57.189334-04:00;154.24;46.0;30.0;45.0;45.0;2.0;2.0;0.0;13.0;10.0;79.65;45.03
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~3;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;0.156674;3.63;3;1.0;2019-09-11 20:46:21.813958-04:00;95.86;57.0;29.0;52.0;56.0;2.0;2.0;0.0;21.0;13.0;NA;78.45
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~1. One Box~2;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;1. One Box;2e-06;1.09;2;1.0;2019-11-07 15:11:50.891058-05:00;52.37;56.0;53.0;55.0;55.0;1.0;1.0;0.0;25.0;1.0;NA;28.31
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~4;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;0.156674;3.63;4;1.0;2019-11-07 15:12:33.678401-05:00;97.76;37.0;27.0;36.0;36.0;1.0;0.0;0.0;4.0;13.0;NA;83.2
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~1. One Box~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;1. One Box;2e-06;1.09;1;1.0;2019-09-09 13:30:26.706374-04:00;69.26;41.0;21.0;38.0;40.0;1.0;0.0;0.0;0.0;27.0;NA;26.76
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~2. Separated Boxes~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-09 13:31:01.219432-04:00;53.95;44.0;27.0;39.0;43.0;2.0;0.0;0.0;0.0;22.0;NA;25.02
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~2. Separated Boxes~2;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;2. Separated Boxes;0.111127;1.69;2;1.0;2019-09-09 13:31:56.435671-04:00;55.75;27.0;16.0;23.0;26.0;2.0;0.0;0.0;0.0;15.0;NA;24.13
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~3. Rotate a Pyramid~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-09 13:32:53.618827-04:00;65.09;34.0;19.0;29.0;33.0;3.0;0.0;0.0;0.0;18.0;NA;14.66
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~3. Rotate a Pyramid~2;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;3. Rotate a Pyramid;0.083447;1.62;2;1.0;2019-09-09 13:33:58.535981-04:00;41.21;24.0;18.0;23.0;23.0;2.0;0.0;0.0;0.0;13.0;NA;13.2
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~4. Match Silhouettes~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-09 13:34:39.971449-04:00;10.09;9.0;11.0;8.0;8.0;1.0;0.0;0.0;0.0;1.0;NA;0.72
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~4. Match Silhouettes~2;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;4. Match Silhouettes;0.061887;2.13;2;1.0;2019-09-09 13:34:47.721417-04:00;167.67;131.0;29.0;60.0;82.0;3.0;0.0;0.0;6.0;68.0;NA;53.54
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~5. Removing Objects~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;5. Removing Objects;0.106021;2.89;1;1.0;2019-09-09 13:37:35.682346-04:00;65.46;49.0;33.0;48.0;48.0;2.0;0.0;0.0;11.0;13.0;NA;28.44
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~5. Removing Objects~2;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;5. Removing Objects;0.106021;2.89;2;1.0;2019-09-09 13:38:40.441707-04:00;309.15;205.0;32.0;64.0;94.0;2.0;0.0;5.0;48.0;63.0;NA;151.17
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~6. Stretch a Ramp~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-09-09 13:43:51.132200-04:00;32.25;23.0;25.0;22.0;22.0;1.0;0.0;0.0;11.0;3.0;NA;23.8
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~7. Max 2 Boxes~1;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;7. Max 2 Boxes;0.078039;1.63;1;0.0;2019-09-09 13:44:23.397589-04:00;401.4;274.0;18.0;35.0;51.0;5.0;0.0;4.0;70.0;82.0;266.97;72.71
