;group_id;user;task_id;n_attempt;spatialDimension;percSpatialValue;PercentileSpatialAbove85;PercentileSpatialBelow15;engageDimension;percEngageValue;PercentileEngageAbove85;PercentileEngageBelow15;exploreDimension;percExploreValue;PercentileExploreAbove85;PercentileExploreBelow15;experimentDimension;percExperimentValue;PercentileExperimentAbove85;PercentileExperimentBelow15;reflexDimension;percReflexValue;PercentileReflexAbove85;PercentileReflexBelow15;errorRectDimension;percErrorRectValue;PercentileErrorRectAbove85;PercentileErrorRectBelow15;persistenceDimension;percPersistenceValue;PercentilePersistenceAbove85;PercentilePersistenceBelow15;completed
2223;e6af7d42084352a39449e6d0a09b18cd;5e28d61160368358430cfe1efe123aa9;Bird Fez;29;0.1951219512195122;39.91769547325103;False;False;344.64973000000003;71.60493827160494;False;False;14.0;64.19753086419753;False;False;0.15601845637596387;20.164609053497944;False;False;88.030358;88.06584362139918;True;False;5.0;89.09465020576133;True;False;260.6791417647059;74.48559670781893;False;False;True
2235;e6af7d42084352a39449e6d0a09b18cd;62201eb12dcba7f781f1f2e75482e1ef;Bird Fez;11;0.29358701000492043;55.967078189300416;False;False;930.5966270000004;97.11934156378601;True;False;17.0;96.09053497942386;True;False;0.132285458573444;15.226337448559672;False;True;145.347172;95.06172839506173;True;False;5.0;89.09465020576133;True;False;648.6256125072467;97.11934156378601;True;False;True
2245;e6af7d42084352a39449e6d0a09b18cd;6aaba2aceab47f1f4390af407db96c2b;Bird Fez;11;0.05555555555555555;22.22222222222222;False;False;135.96069699999998;31.275720164609055;False;False;12.0;29.62962962962963;False;False;0.2424494620523363;54.32098765432099;False;False;54.1128;73.66255144032922;False;False;0.0;24.074074074074076;False;False;91.01625255555552;31.68724279835391;False;False;True
2265;e6af7d42084352a39449e6d0a09b18cd;6ee4b916ed4b2366f0c521b3379f7960;Bird Fez;11;0.2962962962962963;56.37860082304527;False;False;319.60307;69.54732510288066;False;False;15.0;81.48148148148148;False;False;0.25003390208789256;60.90534979423869;False;False;50.791133;69.13580246913581;False;False;1.0;56.584362139917694;False;False;249.77698304347828;72.8395061728395;False;False;True
2287;e6af7d42084352a39449e6d0a09b18cd;6f6b458eb58d511b0bc127cd67a81f84;Bird Fez;14;0.06666666666666667;23.662551440329217;False;False;98.10958000000002;20.987654320987655;False;False;12.0;29.62962962962963;False;False;0.2885030344574204;80.65843621399178;False;False;37.856976;52.26337448559671;False;False;0.0;24.074074074074076;False;False;63.176246666666685;19.75308641975309;False;False;True
2317;e6af7d42084352a39449e6d0a09b18cd;73002223a76a57543bc0d9e92c685d21;Bird Fez;12;0.0;10.2880658436214;False;False;77.42017600000001;15.637860082304528;False;False;11.0;20.5761316872428;False;False;0.36668571496138014;95.88477366255144;True;False;18.564933;16.049382716049383;False;False;0.0;24.074074074074076;False;False;51.67017600000001;15.637860082304528;False;False;True
2337;e6af7d42084352a39449e6d0a09b18cd;7978544a75b7e49d6a5cfe95fe3ded56;Bird Fez;11;0.47058823529411764;79.21810699588478;False;False;200.83500199999997;50.617283950617285;False;False;12.0;29.62962962962963;False;False;0.1573851492666159;20.5761316872428;False;False;51.368522999999996;70.78189300411523;False;False;0.0;24.074074074074076;False;False;156.93500199999997;54.732510288065846;False;False;True
2355;e6af7d42084352a39449e6d0a09b18cd;7a2c3ba5b630c18ff35177361c93141b;Bird Fez;11;0.47058823529411764;79.21810699588478;False;False;269.135633;61.7283950617284;False;False;15.0;81.48148148148148;False;False;0.23510067482139463;51.440329218106996;False;False;104.55059766666668;90.94650205761317;True;False;1.0;56.584362139917694;False;False;195.2784901428571;63.78600823045268;False;False;True
2384;e6af7d42084352a39449e6d0a09b18cd;7ad6a5644dc189d2dd6b366b70f9cca9;Bird Fez;11;0.20833333333333334;42.181069958847736;False;False;189.76811500000002;47.325102880658434;False;False;15.0;81.48148148148148;False;False;0.20476331130440506;32.92181069958848;False;False;71.281011;82.3045267489712;False;False;1.0;56.584362139917694;False;False;122.818115;45.67901234567901;False;False;True
2420;e6af7d42084352a39449e6d0a09b18cd;7efcb41a92a61b13280d8c19e2fef302;Bird Fez;11;0.3560606060606061;65.02057613168725;False;False;644.2724890000002;91.76954732510288;True;False;15.0;81.48148148148148;False;False;0.2916969429204095;82.3045267489712;False;False;37.953120999999996;53.086419753086425;False;False;1.0;56.584362139917694;False;False;413.35851050537656;90.12345679012346;True;False;True
