;group;user;task_id;puzzle_difficulty;puzzle_category;n_attempts;completed;timestamp;active_time;percentileActiveTime;n_events;percentileEvents;n_check_solution;percentileAtt;percentileComposite;persistence;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Stranger Shapes;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Stranger Shapes;0.283971;Advanced;1.0;1.0;2019-10-25 11:15:39.844237-04:00;242.66;49.4;166.0;68.67;1.0;6.02;59.04;NO_BEHAVIOR;1.0;8.0;17.0;80.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Tall and Small;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Tall and Small;0.266869;Advanced;1.0;1.0;2019-10-25 11:17:06.732068-04:00;71.5;8.33;51.0;27.78;1.0;16.67;18.06;RAPID_SOLVER;0.0;5.0;3.0;25.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Ramp Up and Can It;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Ramp Up and Can It;0.206271;Advanced;1.0;1.0;2019-10-25 11:18:23.062804-04:00;88.16;31.25;40.0;40.62;1.0;35.94;35.94;NO_BEHAVIOR;0.0;9.0;18.0;2.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~More Than Meets Your Eye;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;More Than Meets Your Eye;0.192319;Advanced;1.0;1.0;2019-10-25 11:19:48.988287-04:00;172.51;29.03;90.0;25.81;1.0;48.39;27.42;NO_BEHAVIOR;0.0;3.0;8.0;40.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Not Bird;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Not Bird;0.260197;Intermediate;1.0;1.0;2019-10-25 11:22:41.305984-04:00;83.32;17.54;40.0;19.3;1.0;26.32;18.42;RAPID_SOLVER;0.0;5.0;8.0;10.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Unnecessary;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Unnecessary;0.76;Advanced;1.0;1.0;2019-10-25 11:24:06.009128-04:00;53.7;11.11;24.0;9.26;1.0;31.48;10.19;RAPID_SOLVER;0.0;4.0;6.0;4.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Zzz;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Zzz;0.234035;Advanced;1.0;1.0;2019-10-25 11:24:59.429030-04:00;142.42;53.06;68.0;46.94;1.0;34.69;50.0;NO_BEHAVIOR;0.0;3.0;6.0;28.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Bull Market;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Bull Market;0.358579;Advanced;1.0;1.0;2019-10-25 11:27:22.137414-04:00;393.81;62.86;188.0;62.86;1.0;22.86;62.86;NO_BEHAVIOR;0.0;17.0;26.0;67.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Few Clues;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Few Clues;0.324041;Advanced;1.0;1.0;2019-10-25 11:33:54.170632-04:00;344.48;53.57;203.0;67.86;1.0;25.0;60.71;NO_BEHAVIOR;0.0;17.0;33.0;76.0;NA;NA
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Orange Dance;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Orange Dance;0.647731;Advanced;1.0;1.0;2019-10-25 11:39:38.874925-04:00;680.65;41.67;740.0;83.33;2.0;41.67;62.5;NO_BEHAVIOR;2.0;25.0;82.0;301.0;NA;337.49
8cbfa61cb2b025b16b04a8e470422960~23e976a7cd66724ad7ddf04707c29f64~Bear Market;8cbfa61cb2b025b16b04a8e470422960;23e976a7cd66724ad7ddf04707c29f64;Bear Market;1.0;Advanced;1.0;0.0;2019-10-25 11:51:02.191525-04:00;108.45;0.0;78.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;6.0;7.0;34.0;0;0
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~1. One Box;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-22 13:14:33.340892-04:00;79.34;75.84;45.0;88.85;1.0;100.0;82.34;PRODUCTIVE_PERSISTANCE;0.0;0.0;0.0;21.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~2. Separated Boxes;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-10-22 13:15:46.466698-04:00;67.38;48.21;31.0;58.96;2.0;61.35;53.59;NO_BEHAVIOR;0.0;0.0;0.0;17.0;NA;30.4
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~3. Rotate a Pyramid;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;3. Rotate a Pyramid;0.083447;Tutorial;2.0;1.0;2019-10-22 13:18:30.509307-04:00;199.51;88.66;83.0;88.26;5.0;93.93;88.46;PRODUCTIVE_PERSISTANCE;1.0;0.0;11.0;44.0;NA;62.59
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~4. Match Silhouettes;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;4. Match Silhouettes;0.061887;Tutorial;3.0;1.0;2019-10-22 13:24:11.924311-04:00;256.31;82.5;132.0;86.25;1.0;59.17;84.38;PRODUCTIVE_PERSISTANCE;0.0;0.0;21.0;79.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Bear Market;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Bear Market;1.0;Advanced;1.0;0.0;2019-10-22 13:24:06.274819-04:00;5.06;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~5. Removing Objects;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-10-22 13:24:33.635398-04:00;326.44;81.53;207.0;91.89;1.0;50.9;86.71;PRODUCTIVE_PERSISTANCE;0.0;0.0;0.0;184.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~6. Stretch a Ramp;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-10-22 13:30:00.033327-04:00;20.35;2.29;11.0;3.21;1.0;33.49;2.75;RAPID_SOLVER;0.0;0.0;0.0;3.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~7. Max 2 Boxes;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-10-22 13:30:19.573637-04:00;15.57;0.96;11.0;13.46;1.0;61.54;7.21;RAPID_SOLVER;0.0;0.0;0.0;3.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~8. Combine 2 Ramps;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-10-22 13:30:35.584152-04:00;40.12;10.47;28.0;30.37;1.0;72.77;20.42;RAPID_SOLVER;0.0;0.0;3.0;12.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~9. Scaling Round Objects;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-10-22 13:31:14.141923-04:00;24.96;1.14;22.0;9.09;1.0;43.75;5.11;RAPID_SOLVER;0.0;0.0;0.0;8.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Square Cross-Sections;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-10-22 13:31:40.980709-04:00;79.5;21.85;64.0;48.34;5.0;84.11;35.1;NO_BEHAVIOR;0.0;0.0;12.0;28.0;NA;42.45
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Bird Fez;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Bird Fez;0.156674;Intermediate;2.0;1.0;2019-10-22 13:33:56.714740-04:00;120.55;34.42;34.0;13.64;1.0;40.26;24.03;RAPID_SOLVER;2.0;0.0;1.0;13.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Pi Henge;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-10-22 13:34:59.032121-04:00;58.41;18.18;29.0;13.64;1.0;64.29;15.91;RAPID_SOLVER;0.0;0.0;1.0;12.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~45-Degree Rotations;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-10-22 13:35:58.798942-04:00;55.39;13.14;38.0;36.5;1.0;64.23;24.82;RAPID_SOLVER;0.0;0.0;0.0;18.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Pyramids are Strange;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-10-22 13:36:54.547007-04:00;61.74;5.51;29.0;4.72;1.0;32.28;5.12;RAPID_SOLVER;0.0;0.0;1.0;13.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Boxes Obscure Spheres;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Boxes Obscure Spheres;0.266198;Intermediate;3.0;1.0;2019-10-22 13:51:04.404943-04:00;714.44;90.29;216.0;78.64;8.0;79.61;84.47;PRODUCTIVE_PERSISTANCE;7.0;5.0;43.0;74.0;NA;104.04
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Object Limits;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Object Limits;0.257177;Intermediate;3.0;1.0;2019-10-22 13:53:54.176217-04:00;267.33;72.73;71.0;54.55;4.0;52.53;63.64;NO_BEHAVIOR;1.0;0.0;6.0;43.0;NA;105.0
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Warm Up;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Warm Up;0.183971;Advanced;1.0;1.0;2019-10-22 13:56:47.127059-04:00;32.3;38.6;13.0;21.93;1.0;88.6;30.26;NO_BEHAVIOR;0.0;0.0;0.0;4.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Angled Silhouette;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Angled Silhouette;0.147673;Intermediate;9.0;1.0;2019-10-25 11:25:46.102101-04:00;3803.71;100.0;1871.0;100.0;21.0;100.0;100.0;PRODUCTIVE_PERSISTANCE;16.0;8.0;189.0;825.0;NA;148.1
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Sugar Cones;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-10-24 09:35:39.824943-04:00;37.24;18.75;19.0;20.54;1.0;58.04;19.64;RAPID_SOLVER;0.0;0.0;0.0;7.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Stranger Shapes;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Stranger Shapes;0.283971;Advanced;2.0;0.0;2019-10-25 11:35:56.019148-04:00;668.51;95.18;334.0;95.18;4.0;40.96;95.18;UNPRODUCTIVE_PERSISTANCE;1.0;31.0;48.0;133.0;93575.48;124.89
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Not Bird;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Not Bird;0.260197;Intermediate;1.0;1.0;2019-10-25 11:37:23.414120-04:00;143.37;38.6;78.0;45.61;2.0;38.6;42.11;NO_BEHAVIOR;0.0;0.0;14.0;26.0;NA;69.69
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Orange Dance;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Orange Dance;0.647731;Advanced;1.0;0.0;2019-10-25 11:39:49.154532-04:00;6.64;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Tall and Small;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Tall and Small;0.266869;Advanced;1.0;1.0;2019-10-25 11:39:53.818712-04:00;93.81;18.06;46.0;19.44;2.0;30.56;18.75;RAPID_SOLVER;0.0;3.0;1.0;22.0;NA;44.89
e6af7d42084352a39449e6d0a09b18cd~a8d110698c69055de0f594ab2956dde2~Ramp Up and Can It;e6af7d42084352a39449e6d0a09b18cd;a8d110698c69055de0f594ab2956dde2;Ramp Up and Can It;0.206271;Advanced;1.0;0.0;2019-10-25 11:45:16.393148-04:00;439.51;92.19;159.0;87.5;6.0;90.62;89.84;NO_BEHAVIOR;3.0;10.0;45.0;62.0;0;0
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~Bear Market;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;Bear Market;1.0;Advanced;1.0;0.0;2019-10-22 13:17:11.657047-04:00;36.64;0.0;30.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~1. One Box;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-22 13:17:17.385123-04:00;248.07;97.77;155.0;98.14;1.0;100.0;97.96;PRODUCTIVE_PERSISTANCE;2.0;0.0;0.0;79.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~2. Separated Boxes;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-10-22 13:24:21.121690-04:00;56.79;33.47;22.0;43.03;4.0;92.83;38.25;NO_BEHAVIOR;2.0;0.0;0.0;11.0;NA;134.64
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~3. Rotate a Pyramid;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;3. Rotate a Pyramid;0.083447;Tutorial;2.0;0.0;2019-10-24 10:31:43.923794-04:00;100.45;69.23;39.0;70.04;2.0;73.28;69.64;NO_BEHAVIOR;3.0;0.0;0.0;19.0;161648.54;296.77
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~8. Combine 2 Ramps;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;8. Combine 2 Ramps;0.068608;Tutorial;1.0;0.0;2019-10-24 10:28:59.739740-04:00;166.0;79.06;125.0;87.96;0.0;0.0;83.51;NO_BEHAVIOR;5.0;0.0;7.0;41.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~5. Removing Objects;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;5. Removing Objects;0.106021;Tutorial;1.0;0.0;2019-10-24 09:16:51.408018-04:00;1.27;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;0.0;0.0;0.0;0;0
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~6. Stretch a Ramp;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-10-24 10:30:56.491046-04:00;42.99;15.14;22.0;21.1;1.0;33.49;18.12;RAPID_SOLVER;1.0;0.0;4.0;9.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~665004d343e4f13c0714a7d0e54d78de~4. Match Silhouettes;e6af7d42084352a39449e6d0a09b18cd;665004d343e4f13c0714a7d0e54d78de;4. Match Silhouettes;0.061887;Tutorial;1.0;0.0;2019-10-24 10:31:50.587041-04:00;64.58;47.08;34.0;62.08;2.0;78.75;54.58;NO_BEHAVIOR;0.0;1.0;13.0;11.0;0;0
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~Bear Market;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;Bear Market;1.0;Advanced;3.0;0.0;2019-10-22 13:46:24.848694-04:00;455.76;0.0;248.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;7.0;0.0;56.0;75.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~Sugar Cones;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-10-22 13:46:29.566571-04:00;313.57;98.21;209.0;100.0;2.0;89.29;99.11;PRODUCTIVE_PERSISTANCE;2.0;0.0;7.0;150.0;NA;145.34
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~Few Clues;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;Few Clues;0.324041;Advanced;1.0;0.0;2019-10-22 13:46:13.049014-04:00;34.01;0.0;4.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~Stranger Shapes;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;Stranger Shapes;0.283971;Advanced;1.0;0.0;2019-10-24 09:18:35.542490-04:00;155.44;26.51;109.0;49.4;1.0;6.02;37.95;NO_BEHAVIOR;3.0;0.0;1.0;50.0;0;0
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~Pyramids are Strange;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;Pyramids are Strange;0.1796;Intermediate;1.0;0.0;2019-10-25 11:22:29.486954-04:00;9.72;0.0;6.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;1.0;0.0;0.0;0.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~1. One Box;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-25 11:22:42.925903-04:00;33.54;39.03;9.0;37.55;1.0;100.0;38.29;NO_BEHAVIOR;0.0;0.0;1.0;1.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~2. Separated Boxes;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-10-25 11:23:15.349086-04:00;37.56;15.14;18.0;33.47;1.0;31.47;24.3;RAPID_SOLVER;0.0;0.0;1.0;5.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~3. Rotate a Pyramid;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-10-25 11:23:56.558792-04:00;77.33;61.54;30.0;63.56;2.0;73.28;62.55;NO_BEHAVIOR;0.0;0.0;3.0;7.0;NA;32.33
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~4. Match Silhouettes;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-10-25 11:26:43.350992-04:00;51.03;35.83;19.0;44.17;1.0;59.17;40.0;NO_BEHAVIOR;1.0;0.0;1.0;11.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~5. Removing Objects;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-10-25 11:27:40.674783-04:00;131.29;54.05;51.0;54.95;2.0;66.67;54.5;NO_BEHAVIOR;2.0;0.0;22.0;10.0;NA;304.77
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~6. Stretch a Ramp;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-10-25 11:38:25.355374-04:00;235.07;83.94;68.0;66.51;3.0;80.28;75.23;PRODUCTIVE_PERSISTANCE;3.0;0.0;3.0;26.0;NA;107.47
e6af7d42084352a39449e6d0a09b18cd~1f53831aa8207f7fa53432515a1e6752~7. Max 2 Boxes;e6af7d42084352a39449e6d0a09b18cd;1f53831aa8207f7fa53432515a1e6752;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-10-25 11:41:54.947901-04:00;237.41;87.5;84.0;82.21;6.0;95.19;84.86;PRODUCTIVE_PERSISTANCE;5.0;0.0;38.0;22.0;NA;365.19
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~Bull Market;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;Bull Market;0.358579;Advanced;1.0;0.0;2019-10-22 13:18:23.832664-04:00;476.73;68.57;235.0;71.43;2.0;42.86;70.0;NO_BEHAVIOR;2.0;0.0;0.0;58.0;2.69;230.69
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~1. One Box;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-10-22 13:26:09.690431-04:00;11.52;2.6;9.0;37.55;1.0;100.0;20.07;RAPID_SOLVER;0.0;0.0;0.0;1.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~2. Separated Boxes;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-10-22 13:26:21.891559-04:00;83.4;59.76;52.0;78.49;5.0;96.41;69.12;NO_BEHAVIOR;0.0;0.0;0.0;33.0;NA;48.94
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~3. Rotate a Pyramid;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-10-22 13:27:47.697113-04:00;117.41;74.09;24.0;53.04;3.0;87.45;63.56;NO_BEHAVIOR;2.0;0.0;0.0;12.0;NA;67.47
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~4. Match Silhouettes;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-10-22 13:29:46.801939-04:00;29.31;18.33;15.0;35.83;1.0;59.17;27.08;NO_BEHAVIOR;0.0;0.0;4.0;3.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~5. Removing Objects;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-10-22 13:31:04.079923-04:00;94.91;44.14;46.0;51.8;1.0;50.9;47.97;NO_BEHAVIOR;0.0;4.0;5.0;6.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~6. Stretch a Ramp;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;6. Stretch a Ramp;0.107035;Tutorial;2.0;1.0;2019-10-22 13:46:25.235460-04:00;210.81;76.15;55.0;59.17;5.0;89.45;67.66;NO_BEHAVIOR;3.0;0.0;0.0;23.0;NA;65.9
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~Sugar Cones;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-10-22 13:33:37.810670-04:00;127.11;88.39;24.0;47.32;5.0;99.11;67.86;NO_BEHAVIOR;3.0;2.0;1.0;7.0;NA;68.98
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~Stranger Shapes;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;Stranger Shapes;0.283971;Advanced;1.0;0.0;2019-10-22 13:42:58.135024-04:00;291.33;54.22;158.0;66.27;3.0;25.3;60.24;NO_BEHAVIOR;8.0;0.0;0.0;108.0;137.75;78.34
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~7. Max 2 Boxes;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-10-22 13:48:49.154676-04:00;65.09;57.21;10.0;7.69;1.0;61.54;32.45;NO_BEHAVIOR;1.0;0.0;0.0;3.0;NA;NA
e6af7d42084352a39449e6d0a09b18cd~86d2b048783ff0715f22a20e6e259ed3~8. Combine 2 Ramps;e6af7d42084352a39449e6d0a09b18cd;86d2b048783ff0715f22a20e6e259ed3;8. Combine 2 Ramps;0.068608;Tutorial;1.0;0.0;2019-10-22 13:50:45.635743-04:00;116.11;65.97;30.0;35.6;0.0;0.0;50.79;NO_BEHAVIOR;3.0;0.0;0.0;20.0;0;0
