;param_alpha;param_class_weight;param_eta0;param_fit_intercept;param_l1_ratio;param_learning_rate;param_loss;param_max_iter;param_penalty;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
2846;0.0001;balanced;0.1;True;0.5;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2745;0.0001;balanced;0.1;True;0.3;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2744;0.0001;balanced;0.1;True;0.3;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2739;0.0001;balanced;0.1;True;0.3;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2738;0.0001;balanced;0.1;True;0.3;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2091;0.0001;balanced;0.01;True;0.3;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2637;0.0001;balanced;0.1;True;0.15;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2636;0.0001;balanced;0.1;True;0.15;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2096;0.0001;balanced;0.01;True;0.3;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2853;0.0001;balanced;0.1;True;0.5;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2090;0.0001;balanced;0.01;True;0.3;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
1982;0.0001;balanced;0.01;True;0.15;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
1989;0.0001;balanced;0.01;True;0.15;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3501;0.0001;balanced;1.0;True;0.5;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3500;0.0001;balanced;1.0;True;0.5;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3495;0.0001;balanced;1.0;True;0.5;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3494;0.0001;balanced;1.0;True;0.5;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2199;0.0001;balanced;0.01;True;0.5;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
1983;0.0001;balanced;0.01;True;0.15;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
1988;0.0001;balanced;0.01;True;0.15;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
1676;0.0001;;1.0;False;0.15;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
1245;0.0001;;0.1;False;0.5;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
374;0.0001;;0.01;False;0.15;optimal;log;1000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
375;0.0001;;0.01;False;0.15;optimal;log;1000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
380;0.0001;;0.01;False;0.15;optimal;log;2000;l1;0.0001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
381;0.0001;;0.01;False;0.15;optimal;log;2000;l1;0.001;0.7143859229682403;0.05691260475014013;0.731422364929201;0.03346919392484298
