;param_activation;param_alpha;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_max_iter;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
47;relu;0.0001;False;(100,);adaptive;1000;adam;0.7790254994311697;0.04155013091036184;0.8822793101528476;0.012353960406182793
45;relu;0.0001;False;(100,);adaptive;500;adam;0.7790254994311697;0.04155013091036184;0.8822793101528476;0.012353960406182793
41;relu;0.0001;False;(100,);constant;1000;adam;0.7790254994311697;0.04155013091036184;0.8822793101528476;0.012353960406182793
39;relu;0.0001;False;(100,);constant;500;adam;0.7790254994311697;0.04155013091036184;0.8822793101528476;0.012353960406182793
113;relu;0.001;False;(100,);constant;1000;adam;0.7785036182202388;0.04658091010754037;0.8904111999892008;0.014025314611696682
119;relu;0.001;False;(100,);adaptive;1000;adam;0.7785036182202388;0.04658091010754037;0.8904111999892008;0.014025314611696682
117;relu;0.001;False;(100,);adaptive;500;adam;0.7785036182202388;0.04658091010754037;0.8904111999892008;0.014025314611696682
111;relu;0.001;False;(100,);constant;500;adam;0.7785036182202388;0.04658091010754037;0.8904111999892008;0.014025314611696682
121;relu;0.001;False;(50, 50);constant;200;adam;0.777268129360718;0.03691674012489912;0.8999746511615248;0.00873233647340763
127;relu;0.001;False;(50, 50);adaptive;200;adam;0.777268129360718;0.03691674012489912;0.8999746511615248;0.00873233647340763
189;relu;0.01;False;(100,);adaptive;500;adam;0.7769447055842716;0.052399846474582415;0.8861285806772659;0.014198082439350775
183;relu;0.01;False;(100,);constant;500;adam;0.7769447055842716;0.052399846474582415;0.8861285806772659;0.014198082439350775
185;relu;0.01;False;(100,);constant;1000;adam;0.7769447055842716;0.052399846474582415;0.8861285806772659;0.014198082439350775
191;relu;0.01;False;(100,);adaptive;1000;adam;0.7769447055842716;0.052399846474582415;0.8861285806772659;0.014198082439350775
405;logistic;0.01;False;(100,);adaptive;500;adam;0.7750153334159733;0.03584438553425354;0.9236755433088184;0.011736625294211881
399;logistic;0.01;False;(100,);constant;500;adam;0.7750153334159733;0.03584438553425354;0.9236755433088184;0.011736625294211881
417;logistic;0.01;False;(50, 50);adaptive;500;adam;0.7740390076406793;0.03590680025676171;0.9377202057573626;0.015002772616887657
411;logistic;0.01;False;(50, 50);constant;500;adam;0.7740390076406793;0.03590680025676171;0.9377202057573626;0.015002772616887657
55;relu;0.0001;False;(50, 50);adaptive;200;adam;0.7738925291417091;0.04566997550275482;0.8964109437114602;0.012990783855611969
49;relu;0.0001;False;(50, 50);constant;200;adam;0.7738925291417091;0.04566997550275482;0.8964109437114602;0.012990783855611969
199;relu;0.01;False;(50, 50);adaptive;200;adam;0.7737888105917741;0.0398733986649732;0.8974075486723647;0.010324306719909743
193;relu;0.01;False;(50, 50);constant;200;adam;0.7737888105917741;0.0398733986649732;0.8974075486723647;0.010324306719909743
407;logistic;0.01;False;(100,);adaptive;1000;adam;0.7726533850144566;0.031133518826948665;0.9363798653216303;0.02051322404551532
401;logistic;0.01;False;(100,);constant;1000;adam;0.7726533850144566;0.031133518826948665;0.9363798653216303;0.02051322404551532
333;logistic;0.001;False;(100,);adaptive;500;adam;0.7720027685307483;0.033507115292252705;0.9345052353860096;0.007193344556725584
327;logistic;0.001;False;(100,);constant;500;adam;0.7720027685307483;0.033507115292252705;0.9345052353860096;0.007193344556725584
195;relu;0.01;False;(50, 50);constant;500;adam;0.7719784782934596;0.04300681376650109;0.9054121614239972;0.013943657466890974
197;relu;0.01;False;(50, 50);constant;1000;adam;0.7719784782934596;0.04300681376650109;0.9054121614239972;0.013943657466890974
203;relu;0.01;False;(50, 50);adaptive;1000;adam;0.7719784782934596;0.04300681376650109;0.9054121614239972;0.013943657466890974
201;relu;0.01;False;(50, 50);adaptive;500;adam;0.7719784782934596;0.04300681376650109;0.9054121614239972;0.013943657466890974
419;logistic;0.01;False;(50, 50);adaptive;1000;adam;0.7708749136183404;0.03494966162288735;0.9377820225310192;0.015615317460053102
413;logistic;0.01;False;(50, 50);constant;1000;adam;0.7708749136183404;0.03494966162288735;0.9377820225310192;0.015615317460053102
53;relu;0.0001;False;(50, 50);constant;1000;adam;0.7695360994482024;0.04342876408927074;0.9002202239950374;0.016754628671121825
51;relu;0.0001;False;(50, 50);constant;500;adam;0.7695360994482024;0.04342876408927074;0.9002202239950374;0.016754628671121825
57;relu;0.0001;False;(50, 50);adaptive;500;adam;0.7695360994482024;0.04342876408927074;0.9002202239950374;0.016754628671121825
59;relu;0.0001;False;(50, 50);adaptive;1000;adam;0.7695360994482024;0.04342876408927074;0.9002202239950374;0.016754628671121825
261;logistic;0.0001;False;(100,);adaptive;500;adam;0.7690799544658155;0.035149106223135065;0.9359465975856935;0.005637382347075198
255;logistic;0.0001;False;(100,);constant;500;adam;0.7690799544658155;0.035149106223135065;0.9359465975856935;0.005637382347075198
427;logistic;0.01;False;(50, 100, 50);adaptive;200;adam;0.7687012492905818;0.030034943922627347;0.9102735801104572;0.010414844694658611
421;logistic;0.01;False;(50, 100, 50);constant;200;adam;0.7687012492905818;0.030034943922627347;0.9102735801104572;0.010414844694658611
267;logistic;0.0001;False;(50, 50);constant;500;adam;0.7679677174723119;0.03603942572586353;0.9514792843640759;0.012650126740058281
273;logistic;0.0001;False;(50, 50);adaptive;500;adam;0.7679677174723119;0.03603942572586353;0.9514792843640759;0.012650126740058281
341;logistic;0.001;False;(50, 50);constant;1000;adam;0.7677222655434196;0.03851101257475168;0.9570621196764095;0.023129309959285013
347;logistic;0.001;False;(50, 50);adaptive;1000;adam;0.7677222655434196;0.03851101257475168;0.9570621196764095;0.023129309959285013
69;relu;0.0001;False;(50, 100, 50);adaptive;500;adam;0.7668426172909372;0.02923363084601157;0.9190416585619289;0.020473043824467407
63;relu;0.0001;False;(50, 100, 50);constant;500;adam;0.7668426172909372;0.02923363084601157;0.9190416585619289;0.020473043824467407
65;relu;0.0001;False;(50, 100, 50);constant;1000;adam;0.7668426172909372;0.02923363084601157;0.9190416585619289;0.020473043824467407
71;relu;0.0001;False;(50, 100, 50);adaptive;1000;adam;0.7668426172909372;0.02923363084601157;0.9190416585619289;0.020473043824467407
275;logistic;0.0001;False;(50, 50);adaptive;1000;adam;0.7666187512591155;0.03674979238601507;0.9545643046240186;0.015252293526980227
269;logistic;0.0001;False;(50, 50);constant;1000;adam;0.7666187512591155;0.03674979238601507;0.9545643046240186;0.015252293526980227
129;relu;0.001;False;(50, 50);adaptive;500;adam;0.766004894778414;0.043169838424583336;0.9063081420230759;0.014668252246628441
125;relu;0.001;False;(50, 50);constant;1000;adam;0.766004894778414;0.043169838424583336;0.9063081420230759;0.014668252246628441
123;relu;0.001;False;(50, 50);constant;500;adam;0.766004894778414;0.043169838424583336;0.9063081420230759;0.014668252246628441
131;relu;0.001;False;(50, 50);adaptive;1000;adam;0.766004894778414;0.043169838424583336;0.9063081420230759;0.014668252246628441
