;param_bootstrap;param_class_weight;param_criterion;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
1468;False;balanced;gini;;auto;2;2;200;0.7567407605845144;0.05841972078161428;0.978312153349029;0.0018539950844895707
498;True;balanced;gini;;auto;2;5;100;0.7566199151118342;0.06883554408727266;0.9322325412402863;0.0025368056093972137
525;True;balanced;gini;;sqrt;2;5;100;0.7566199151118342;0.06883554408727266;0.9322325412402863;0.0025368056093972137
1869;False;balanced;entropy;10;auto;1;10;100;0.7565813855430052;0.07390083741758209;0.864145014909605;0.005612722214377832
1896;False;balanced;entropy;10;sqrt;1;10;100;0.7565813855430052;0.07390083741758209;0.864145014909605;0.005612722214377832
1771;False;balanced;entropy;;log2;2;10;200;0.756444783163569;0.06759483645839849;0.9479176345682031;0.0018977796579848012
1715;False;balanced;entropy;;auto;2;5;300;0.7562901101477328;0.05653909647711472;0.9754231413417507;0.0020852490247552603
1742;False;balanced;entropy;;sqrt;2;5;300;0.7562901101477328;0.05653909647711472;0.9754231413417507;0.0020852490247552603
556;True;balanced;gini;;log2;2;10;200;0.7561995951378562;0.06696385041084295;0.9047022718482454;0.00395339073308258
1713;False;balanced;entropy;;auto;2;5;100;0.7560872940703646;0.059793644262089767;0.9751602386693012;0.0021334576523020627
1740;False;balanced;entropy;;sqrt;2;5;100;0.7560872940703646;0.059793644262089767;0.9751602386693012;0.0021334576523020627
1712;False;balanced;entropy;;auto;2;2;300;0.7560402070719465;0.05673903283465349;0.9797868827570705;0.0016404541038026082
1739;False;balanced;entropy;;sqrt;2;2;300;0.7560402070719465;0.05673903283465349;0.9797868827570705;0.0016404541038026082
1537;False;balanced;gini;;log2;4;10;200;0.7560255364842827;0.06530240340146405;0.9142286565085047;0.004689980343384406
1679;False;balanced;gini;10;log2;1;5;300;0.7560145553758917;0.07679765387760867;0.8757320889122842;0.004828542928882012
1643;False;balanced;gini;10;auto;4;5;300;0.7559051657711662;0.0799590082958966;0.8599282280374749;0.004729335609457864
1640;False;balanced;gini;10;auto;4;2;300;0.7559051657711662;0.0799590082958966;0.8599282280374749;0.004729335609457864
1667;False;balanced;gini;10;sqrt;4;2;300;0.7559051657711662;0.0799590082958966;0.8599282280374749;0.004729335609457864
1670;False;balanced;gini;10;sqrt;4;5;300;0.7559051657711662;0.0799590082958966;0.8599282280374749;0.004729335609457864
1524;False;balanced;gini;;log2;2;5;100;0.7558964749382076;0.06183398903878716;0.9688620364968795;0.0020064999984863796
1745;False;balanced;entropy;;sqrt;2;10;300;0.7558621293952215;0.06330171048016235;0.9531590203927245;0.002911568168867468
1718;False;balanced;entropy;;auto;2;10;300;0.7558621293952215;0.06330171048016235;0.9531590203927245;0.002911568168867468
1870;False;balanced;entropy;10;auto;1;10;200;0.7558484187848147;0.07953407785311957;0.8658494143274936;0.00495729164580853
1897;False;balanced;entropy;10;sqrt;1;10;200;0.7558484187848147;0.07953407785311957;0.8658494143274936;0.00495729164580853
1665;False;balanced;gini;10;sqrt;4;2;100;0.7558152308667746;0.08333325172374417;0.8578143251220631;0.005370945061230419
1668;False;balanced;gini;10;sqrt;4;5;100;0.7558152308667746;0.08333325172374417;0.8578143251220631;0.005370945061230419
1638;False;balanced;gini;10;auto;4;2;100;0.7558152308667746;0.08333325172374417;0.8578143251220631;0.005370945061230419
1641;False;balanced;gini;10;auto;4;5;100;0.7558152308667746;0.08333325172374417;0.8578143251220631;0.005370945061230419
1781;False;balanced;entropy;;log2;4;10;300;0.7558037567485676;0.0773143879217715;0.9159551284965598;0.003918993649117954
1680;False;balanced;gini;10;log2;1;10;100;0.7556134029967865;0.07593038769991484;0.864797339757018;0.004689053987840126
798;True;balanced;entropy;;log2;2;10;100;0.7554842434569842;0.07465606379125293;0.9051664967383944;0.004051244440948961
1520;False;balanced;gini;;log2;1;10;300;0.7554425332087968;0.05987454643694257;0.9726723838499509;0.0016401381288625749
1467;False;balanced;gini;;auto;2;2;100;0.7554039917571648;0.059596857578146215;0.9773148695262407;0.0013482904606175448
1494;False;balanced;gini;;sqrt;2;2;100;0.7554039917571648;0.059596857578146215;0.9773148695262407;0.0013482904606175448
1469;False;balanced;gini;;auto;2;2;300;0.7553813757596608;0.05661235099259411;0.9782000667726288;0.0018503497841359335
1496;False;balanced;gini;;sqrt;2;2;300;0.7553813757596608;0.05661235099259411;0.9782000667726288;0.0018503497841359335
1502;False;balanced;gini;;sqrt;2;10;300;0.7552404650022889;0.06099741094028391;0.9509478128583858;0.002311389177930351
1475;False;balanced;gini;;auto;2;10;300;0.7552404650022889;0.06099741094028391;0.9509478128583858;0.002311389177930351
773;True;balanced;entropy;;sqrt;2;10;300;0.7552067664543987;0.06963413788569985;0.9139422593249089;0.002927405532547614
746;True;balanced;entropy;;auto;2;10;300;0.7552067664543987;0.06963413788569985;0.9139422593249089;0.002927405532547614
1491;False;balanced;gini;;sqrt;1;10;100;0.7551301054130785;0.054380690274724405;0.9735685801242697;0.00180318592451295
1464;False;balanced;gini;;auto;1;10;100;0.7551301054130785;0.054380690274724405;0.9735685801242697;0.00180318592451295
1639;False;balanced;gini;10;auto;4;2;200;0.7551089482509858;0.08129905722268099;0.8600699526898323;0.005201073406026989
1642;False;balanced;gini;10;auto;4;5;200;0.7551089482509858;0.08129905722268099;0.8600699526898323;0.005201073406026989
1669;False;balanced;gini;10;sqrt;4;5;200;0.7551089482509858;0.08129905722268099;0.8600699526898323;0.005201073406026989
1666;False;balanced;gini;10;sqrt;4;2;200;0.7551089482509858;0.08129905722268099;0.8600699526898323;0.005201073406026989
1498;False;balanced;gini;;sqrt;2;5;200;0.7549727638322106;0.06433538503648593;0.9739756821681574;0.001911049887317069
1471;False;balanced;gini;;auto;2;5;200;0.7549727638322106;0.06433538503648593;0.9739756821681574;0.001911049887317069
1519;False;balanced;gini;;log2;1;10;200;0.7549700851136499;0.0582041604774722;0.9724483956392191;0.0019928308972619398
1673;False;balanced;gini;10;sqrt;4;10;300;0.7549512285793594;0.07572131639441684;0.8578413656747855;0.005862149157854705
1646;False;balanced;gini;10;auto;4;10;300;0.7549512285793594;0.07572131639441684;0.8578413656747855;0.005862149157854705
564;True;balanced;gini;;log2;4;10;100;0.7549181923423949;0.06668843901053284;0.8730573253386644;0.005415066549598109
1528;False;balanced;gini;;log2;2;10;200;0.7548783656821103;0.06469794168217065;0.9450162826869543;0.0020799430699036865
1922;False;balanced;entropy;10;log2;1;5;300;0.7548741940546981;0.07795804024445352;0.8685648409140072;0.004336113212698389
1527;False;balanced;gini;;log2;2;10;100;0.7548250962724563;0.06636323071791822;0.9441271554801667;0.0029475533629645316
1474;False;balanced;gini;;auto;2;10;200;0.7548154881348101;0.060390924931070754;0.9505671130989238;0.002905777780491884
1501;False;balanced;gini;;sqrt;2;10;200;0.7548154881348101;0.060390924931070754;0.9505671130989238;0.002905777780491884
1657;False;balanced;gini;10;sqrt;2;2;200;0.7547208919562436;0.07871900523931899;0.8757732108409032;0.005061717314797485
1630;False;balanced;gini;10;auto;2;2;200;0.7547208919562436;0.07871900523931899;0.8757732108409032;0.005061717314797485
1529;False;balanced;gini;;log2;2;10;300;0.7547033927751936;0.06842748815834014;0.9457242958287401;0.0014647318819992336
782;True;balanced;entropy;;sqrt;4;10;300;0.7546814368144836;0.07484795981102904;0.8854750719051264;0.005737420501391838
755;True;balanced;entropy;;auto;4;10;300;0.7546814368144836;0.07484795981102904;0.8854750719051264;0.005737420501391838
1752;False;balanced;entropy;;sqrt;4;10;100;0.7546616841876373;0.07431661796863348;0.9236845769715274;0.003067206757530331
1725;False;balanced;entropy;;auto;4;10;100;0.7546616841876373;0.07431661796863348;0.9236845769715274;0.003067206757530331
799;True;balanced;entropy;;log2;2;10;200;0.7546367136415723;0.0721539642537632;0.909044422288745;0.0033043168841918246
496;True;balanced;gini;;auto;2;2;200;0.7545913468949529;0.06388042216297535;0.937600477011905;0.0024905530603329027
523;True;balanced;gini;;sqrt;2;2;200;0.7545913468949529;0.06388042216297535;0.937600477011905;0.0024905530603329027
711;True;balanced;gini;10;log2;2;2;100;0.7545590444841557;0.07601766862248785;0.8496646856915543;0.004052893205406609
1518;False;balanced;gini;;log2;1;10;100;0.7545378565786602;0.06220271228157909;0.9718916948876357;0.002039478114301928
1499;False;balanced;gini;;sqrt;2;5;300;0.7545122325509855;0.05778495562474694;0.974100248420951;0.0016340506021052718
1472;False;balanced;gini;;auto;2;5;300;0.7545122325509855;0.05778495562474694;0.974100248420951;0.0016340506021052718
