;param_criterion;param_max_depth;param_min_samples_leaf;param_min_samples_split;mean_test_score;std_test_score;mean_train_score;std_train_score
41;entropy;;3;10;0.7312758624522631;0.04683982428869093;0.914331737356485;0.004386246906820389
0;gini;;1;2;0.7302308320927833;0.05716097157401115;0.999699827148841;0.00010056884886122964
25;gini;10;5;5;0.7295022590804355;0.057882889652108936;0.8453099487717848;0.0065294496071940655
24;gini;10;5;2;0.7295022590804355;0.057882889652108936;0.8453099487717848;0.0065294496071940655
26;gini;10;5;10;0.7295022590804355;0.057882889652108936;0.8453099487717848;0.0065294496071940655
68;entropy;20;3;10;0.7280218140691173;0.045218206072151226;0.9120697103527083;0.003094275451159356
67;entropy;20;3;5;0.7272013647796389;0.04616407313455965;0.9326986889469856;0.005642489374261532
66;entropy;20;3;2;0.7272013647796389;0.04616407313455965;0.9326986889469856;0.005642489374261532
2;gini;;1;10;0.7268761517431719;0.05651973987555119;0.9262924355050879;0.00394722339957156
29;gini;20;1;10;0.726501651720669;0.051941372529941694;0.9248386133447137;0.003684935544461825
39;entropy;;3;2;0.7257645338042955;0.04523361667559647;0.9372031418261763;0.004366161388422703
40;entropy;;3;5;0.7257645338042955;0.04523361667559647;0.9372031418261763;0.004366161388422703
4;gini;;3;5;0.7251245515366884;0.04491545389694441;0.929490994931539;0.004458709387839726
3;gini;;3;2;0.7251245515366884;0.04491545389694441;0.929490994931539;0.004458709387839726
31;gini;20;3;5;0.7243049474805157;0.04430092381335109;0.9289750055630883;0.004947291624608277
30;gini;20;3;2;0.7243049474805157;0.04430092381335109;0.9289750055630883;0.004947291624608277
35;gini;20;5;10;0.7233741467914938;0.04999624292932753;0.8889428193338004;0.00518484258600669
34;gini;20;5;5;0.7233741467914938;0.04999624292932753;0.8889428193338004;0.00518484258600669
33;gini;20;5;2;0.7233741467914938;0.04999624292932753;0.8889428193338004;0.00518484258600669
7;gini;;5;5;0.7226860733969984;0.04927975829505987;0.8891246375156185;0.005280889151645194
8;gini;;5;10;0.7226860733969984;0.04927975829505987;0.8891246375156185;0.005280889151645194
6;gini;;5;2;0.7226860733969984;0.04927975829505987;0.8891246375156185;0.005280889151645194
32;gini;20;3;10;0.7195778884580787;0.048148186350060095;0.9030648818195648;0.004066462858546
5;gini;;3;10;0.7192725176811352;0.04734578289346515;0.9038789551482328;0.003571667909947975
11;gini;3;1;10;0.6942175974427828;0.061286773596113134;0.7237464628960307;0.02169544917636739
10;gini;3;1;5;0.6942175974427828;0.061286773596113134;0.7237464628960307;0.02169544917636739
9;gini;3;1;2;0.6942175974427828;0.061286773596113134;0.7237464628960307;0.02169544917636739
15;gini;3;5;2;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
14;gini;3;3;10;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
13;gini;3;3;5;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
12;gini;3;3;2;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
16;gini;3;5;5;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
17;gini;3;5;10;0.6938820269729842;0.06146730046333995;0.7235060653446672;0.02191776651069145
52;entropy;3;5;5;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
53;entropy;3;5;10;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
51;entropy;3;5;2;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
50;entropy;3;3;10;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
49;entropy;3;3;5;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
48;entropy;3;3;2;0.6704926231593965;0.07509154380466736;0.7017229467143745;0.014268502758019271
46;entropy;3;1;5;0.6704926231593965;0.07509154380466736;0.7018224751866559;0.014322682269421646
45;entropy;3;1;2;0.6704926231593965;0.07509154380466736;0.7018224751866559;0.014322682269421646
47;entropy;3;1;10;0.6704926231593965;0.07509154380466736;0.7018224751866559;0.014322682269421646
