;param_algorithm;param_leaf_size;param_metric;param_n_neighbors;param_p;param_weights;mean_test_score;std_test_score;mean_train_score;std_train_score
67;auto;50;manhattan;5;2;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
65;auto;50;manhattan;5;1;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
41;auto;40;manhattan;5;1;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
19;auto;30;manhattan;5;2;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
43;auto;40;manhattan;5;2;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
17;auto;30;manhattan;5;1;distance;0.665986336049332;0.058081354796446445;0.995950635832403;0.0003045478673218769
137;ball_tree;50;manhattan;5;1;distance;0.6656193092809302;0.058083471734470836;0.995950635832403;0.0003045478673218769
139;ball_tree;50;manhattan;5;2;distance;0.6656193092809302;0.058083471734470836;0.995950635832403;0.0003045478673218769
209;kd_tree;50;manhattan;5;1;distance;0.6654413733378698;0.05805819317842594;0.995950635832403;0.0003045478673218769
211;kd_tree;50;manhattan;5;2;distance;0.6654413733378698;0.05805819317842594;0.995950635832403;0.0003045478673218769
199;kd_tree;50;euclidean;5;2;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
101;ball_tree;40;euclidean;5;1;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
77;ball_tree;30;euclidean;5;1;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
197;kd_tree;50;euclidean;5;1;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
79;ball_tree;30;euclidean;5;2;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
103;ball_tree;40;euclidean;5;2;distance;0.6641431816445708;0.06452603893294424;0.995950635832403;0.0003045478673218769
151;kd_tree;30;euclidean;5;2;distance;0.6640863780091381;0.06487592814735926;0.995950635832403;0.0003045478673218769
173;kd_tree;40;euclidean;5;1;distance;0.6640863780091381;0.06487592814735926;0.995950635832403;0.0003045478673218769
175;kd_tree;40;euclidean;5;2;distance;0.6640863780091381;0.06487592814735926;0.995950635832403;0.0003045478673218769
149;kd_tree;30;euclidean;5;1;distance;0.6640863780091381;0.06487592814735926;0.995950635832403;0.0003045478673218769
127;ball_tree;50;euclidean;5;2;distance;0.6639695705334596;0.06438531107162582;0.995950635832403;0.0003045478673218769
125;ball_tree;50;euclidean;5;1;distance;0.6639695705334596;0.06438531107162582;0.995950635832403;0.0003045478673218769
29;auto;40;euclidean;5;1;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
7;auto;30;euclidean;5;2;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
5;auto;30;euclidean;5;1;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
55;auto;50;euclidean;5;2;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
53;auto;50;euclidean;5;1;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
31;auto;40;euclidean;5;2;distance;0.6639127668980269;0.06473115242719657;0.995950635832403;0.0003045478673218769
47;auto;40;manhattan;7;2;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
23;auto;30;manhattan;7;2;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
21;auto;30;manhattan;7;1;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
71;auto;50;manhattan;7;2;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
69;auto;50;manhattan;7;1;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
45;auto;40;manhattan;7;1;distance;0.6611878367796261;0.06778179712929158;0.995950635832403;0.0003045478673218769
141;ball_tree;50;manhattan;7;1;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
143;ball_tree;50;manhattan;7;2;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
95;ball_tree;30;manhattan;7;2;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
93;ball_tree;30;manhattan;7;1;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
117;ball_tree;40;manhattan;7;1;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
119;ball_tree;40;manhattan;7;2;distance;0.660109682924157;0.06825057759694239;0.995950635832403;0.0003045478673218769
165;kd_tree;30;manhattan;7;1;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
189;kd_tree;40;manhattan;7;1;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
191;kd_tree;40;manhattan;7;2;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
213;kd_tree;50;manhattan;7;1;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
167;kd_tree;30;manhattan;7;2;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
215;kd_tree;50;manhattan;7;2;distance;0.6599660047632374;0.06812025315007073;0.995950635832403;0.0003045478673218769
196;kd_tree;50;euclidean;5;1;uniform;0.6597229874993065;0.07483055083952128;0.7722968618557025;0.0059300213629146946
78;ball_tree;30;euclidean;5;2;uniform;0.6597229874993065;0.07483055083952128;0.7721195745039477;0.00582052059937211
102;ball_tree;40;euclidean;5;2;uniform;0.6597229874993065;0.07483055083952128;0.7721195745039477;0.00582052059937211
76;ball_tree;30;euclidean;5;1;uniform;0.6597229874993065;0.07483055083952128;0.7721195745039477;0.00582052059937211
198;kd_tree;50;euclidean;5;2;uniform;0.6597229874993065;0.07483055083952128;0.7722968618557025;0.0059300213629146946
100;ball_tree;40;euclidean;5;1;uniform;0.6597229874993065;0.07483055083952128;0.7721195745039477;0.00582052059937211
172;kd_tree;40;euclidean;5;1;uniform;0.6596661838638738;0.07515652189686889;0.772297077252866;0.005938628744470868
148;kd_tree;30;euclidean;5;1;uniform;0.6596661838638738;0.07515652189686889;0.772297077252866;0.005938628744470868
150;kd_tree;30;euclidean;5;2;uniform;0.6596661838638738;0.07515652189686889;0.772297077252866;0.005938628744470868
174;kd_tree;40;euclidean;5;2;uniform;0.6596661838638738;0.07515652189686889;0.772297077252866;0.005938628744470868
124;ball_tree;50;euclidean;5;1;uniform;0.6595493763881952;0.07467071324301396;0.7722391917288282;0.005876081648048427
126;ball_tree;50;euclidean;5;2;uniform;0.6595493763881952;0.07467071324301396;0.7722391917288282;0.005876081648048427
30;auto;40;euclidean;5;2;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
28;auto;40;euclidean;5;1;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
54;auto;50;euclidean;5;2;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
4;auto;30;euclidean;5;1;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
6;auto;30;euclidean;5;2;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
52;auto;50;euclidean;5;1;uniform;0.6591019477527624;0.07522477969725684;0.7723773844386079;0.006045972748139184
114;ball_tree;40;manhattan;5;2;uniform;0.658223889538751;0.0695080208391617;0.782182323512777;0.005385889965854053
112;ball_tree;40;manhattan;5;1;uniform;0.658223889538751;0.0695080208391617;0.782182323512777;0.005385889965854053
88;ball_tree;30;manhattan;5;1;uniform;0.658223889538751;0.0695080208391617;0.782182323512777;0.005385889965854053
90;ball_tree;30;manhattan;5;2;uniform;0.658223889538751;0.0695080208391617;0.782182323512777;0.005385889965854053
162;kd_tree;30;manhattan;5;2;uniform;0.6578913036555534;0.06934780689477504;0.7822589753648952;0.005523778666595559
160;kd_tree;30;manhattan;5;1;uniform;0.6578913036555534;0.06934780689477504;0.7822589753648952;0.005523778666595559
184;kd_tree;40;manhattan;5;1;uniform;0.6578913036555534;0.06934780689477504;0.7822589753648952;0.005523778666595559
186;kd_tree;40;manhattan;5;2;uniform;0.6578913036555534;0.06934780689477504;0.7822589753648952;0.005523778666595559
42;auto;40;manhattan;5;2;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
66;auto;50;manhattan;5;2;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
64;auto;50;manhattan;5;1;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
18;auto;30;manhattan;5;2;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
16;auto;30;manhattan;5;1;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
40;auto;40;manhattan;5;1;uniform;0.6578898182795838;0.07005769867922759;0.7823459313315324;0.005422649642293295
138;ball_tree;50;manhattan;5;2;uniform;0.657372047211201;0.07004633715955588;0.7820862825835109;0.00571967524050417
136;ball_tree;50;manhattan;5;1;uniform;0.657372047211201;0.07004633715955588;0.7820862825835109;0.00571967524050417
208;kd_tree;50;manhattan;5;1;uniform;0.6571941112681406;0.07001730030769142;0.7820979620057239;0.0053929485652643135
210;kd_tree;50;manhattan;5;2;uniform;0.6571941112681406;0.07001730030769142;0.7820979620057239;0.0053929485652643135
70;auto;50;manhattan;7;2;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
68;auto;50;manhattan;7;1;uniform;0.6552458562091538;0.07557410217050922;0.7588158103680409;0.007788778294754449
