;param_activation;param_alpha;param_hidden_layer_sizes;param_learning_rate;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
1;tanh;0.0001;(50, 50, 50);constant;adam;0.7210859602998386;0.04239975692748471;0.8708273635040961;0.019024583827192253
39;relu;0.05;(50, 50, 50);adaptive;adam;0.721000593418809;0.05323494435160676;0.820216621639289;0.03410327606919729
37;relu;0.05;(50, 50, 50);constant;adam;0.721000593418809;0.05323494435160676;0.820216621639289;0.03410327606919729
13;tanh;0.05;(50, 50, 50);constant;adam;0.7196911686976973;0.05940741224477586;0.8593053956983603;0.015503882620877358
15;tanh;0.05;(50, 50, 50);adaptive;adam;0.7196911686976973;0.05940741224477586;0.8593053956983603;0.015503882620877358
17;tanh;0.05;(50, 100, 50);constant;adam;0.7153779206827954;0.05502791820943277;0.8608550856158308;0.021314994697255295
19;tanh;0.05;(50, 100, 50);adaptive;adam;0.7153779206827954;0.05502791820943277;0.8608550856158308;0.021314994697255295
16;tanh;0.05;(50, 100, 50);constant;sgd;0.6839901873322436;0.06795926789187667;0.739457479158659;0.009646395552512345
4;tanh;0.0001;(50, 100, 50);constant;sgd;0.6830922165987199;0.0673648339447458;0.7396883374723048;0.00974386225175768
18;tanh;0.05;(50, 100, 50);adaptive;sgd;0.6818093379493938;0.06619715871992242;0.7409184820377418;0.009621811692127299
6;tanh;0.0001;(50, 100, 50);adaptive;sgd;0.681198723537709;0.06580195903527924;0.7413948823162307;0.009518621090740429
42;relu;0.05;(50, 100, 50);adaptive;sgd;0.677732222193794;0.06401682893712685;0.7497571485098037;0.01476811394816926
30;relu;0.0001;(50, 100, 50);adaptive;sgd;0.6764161153461521;0.062237111180344425;0.7492672883855003;0.014451698119676271
38;relu;0.05;(50, 50, 50);adaptive;sgd;0.6684885868318162;0.07766127460641091;0.7377032660892766;0.01730187681547511
26;relu;0.0001;(50, 50, 50);adaptive;sgd;0.6684226337560554;0.06612786057329888;0.7400045883074491;0.01754259371337331
40;relu;0.05;(50, 100, 50);constant;sgd;0.6675144828090822;0.07835896977096635;0.7442962337222676;0.02289485176787254
34;relu;0.0001;(100,);adaptive;sgd;0.6667113989758409;0.07357894130765591;0.7308812331662469;0.012429402529837874
12;tanh;0.05;(50, 50, 50);constant;sgd;0.6666019043642253;0.06360058050081806;0.73509802410997;0.019847138541428697
0;tanh;0.0001;(50, 50, 50);constant;sgd;0.6664652923423674;0.06344351756223332;0.7372714073055389;0.02087101714406243
14;tanh;0.05;(50, 50, 50);adaptive;sgd;0.6662602034530228;0.06358018488040654;0.7403250659622356;0.017165524756868875
2;tanh;0.0001;(50, 50, 50);adaptive;sgd;0.666123591431165;0.06342233541230048;0.741572096109214;0.017554612709179837
46;relu;0.05;(100,);adaptive;sgd;0.6657912988830483;0.07730514264055881;0.7294073761956216;0.013443321948074561
36;relu;0.05;(50, 50, 50);constant;sgd;0.66408314408871;0.0732258774501016;0.7276346468831061;0.031837613222378644
44;relu;0.05;(100,);constant;sgd;0.6620557089315379;0.05840126455333037;0.7276988232106203;0.041822166393828054
24;relu;0.0001;(50, 50, 50);constant;sgd;0.6584943154723594;0.0717570701235956;0.7326670714334298;0.029011662547616376
32;relu;0.0001;(100,);constant;sgd;0.6582082529091491;0.06528818058760669;0.7275898255739561;0.043425607302271754
22;tanh;0.05;(100,);adaptive;sgd;0.655842645808332;0.08602382716997148;0.7327296943735203;0.00762815343625371
20;tanh;0.05;(100,);constant;sgd;0.655842645808332;0.08602382716997148;0.7327296943735203;0.00762815343625371
10;tanh;0.0001;(100,);adaptive;sgd;0.654952698990696;0.08567863485346151;0.7334042112797866;0.007989331412694107
8;tanh;0.0001;(100,);constant;sgd;0.654952698990696;0.08567863485346151;0.7334042112797866;0.007989331412694107
28;relu;0.0001;(50, 100, 50);constant;sgd;0.6415994938706853;0.09431725465821679;0.7310606458549552;0.02871371565967684
