;param_alpha;param_loss;param_max_iter;param_penalty;param_random_state;mean_test_score;std_test_score;mean_train_score;std_train_score
73;0.01;modified_huber;100;l2;42;0.652554134471945;0.08287510751459705;0.6593623386049157;0.06911186261527742
56;0.01;hinge;100;elasticnet;42;0.6512235821677683;0.07193689425639928;0.6721291737396033;0.03831512875548503
59;0.01;hinge;500;elasticnet;42;0.6512235821677683;0.07193689425639928;0.6721291737396033;0.03831512875548503
62;0.01;hinge;1000;elasticnet;42;0.6512235821677683;0.07193689425639928;0.6721291737396033;0.03831512875548503
11;0.0001;log;100;elasticnet;42;0.6507418416022477;0.053356813941970234;0.6698725173821565;0.0706623188775691
57;0.01;hinge;500;l1;42;0.6506448069383486;0.05405884686119823;0.6902132129740399;0.038074875485484314
60;0.01;hinge;1000;l1;42;0.6506448069383486;0.05405884686119823;0.6902132129740399;0.038074875485484314
54;0.01;hinge;100;l1;42;0.6506448069383486;0.05405884686119823;0.6902132129740399;0.038074875485484314
9;0.0001;log;100;l1;42;0.6505127428029166;0.06054121925217585;0.6927751128640983;0.03830706242293385
1;0.0001;hinge;100;l2;42;0.6497764437552973;0.04829993637016215;0.6635306783337358;0.05942773323767938
46;0.001;modified_huber;100;l2;42;0.6484277817328503;0.06033678406180633;0.647196668823612;0.04482690634654449
12;0.0001;log;500;l1;42;0.6480272776866375;0.061498703497165234;0.6967485856486689;0.0406882177192908
15;0.0001;log;1000;l1;42;0.6480272776866375;0.061498703497165234;0.6967485856486689;0.0406882177192908
99;0.1;modified_huber;100;l1;42;0.6445929417701117;0.09049620100525357;0.6629255490592567;0.057280293887961874
102;0.1;modified_huber;500;l1;42;0.644069126049133;0.09021623395440809;0.6642371600722975;0.05789267988308441
105;0.1;modified_huber;1000;l1;42;0.644069126049133;0.09021623395440809;0.6642371600722975;0.05789267988308441
49;0.001;modified_huber;500;l2;42;0.6440455142909898;0.0658596746864159;0.6454090707405642;0.04695620147586229
52;0.001;modified_huber;1000;l2;42;0.6440455142909898;0.0658596746864159;0.6454090707405642;0.04695620147586229
58;0.01;hinge;500;l2;42;0.643940974757456;0.07397079943971144;0.6768600423656108;0.030494084534156387
61;0.01;hinge;1000;l2;42;0.643940974757456;0.07397079943971144;0.6768600423656108;0.030494084534156387
97;0.1;log;1000;l2;42;0.6409172236575245;0.07393502888498181;0.6763430874579074;0.031333641029287075
91;0.1;log;100;l2;42;0.6409172236575245;0.07393502888498181;0.6763430874579074;0.031333641029287075
94;0.1;log;500;l2;42;0.6409172236575245;0.07393502888498181;0.6763430874579074;0.031333641029287075
80;0.01;modified_huber;1000;elasticnet;42;0.6390721044728035;0.05772573079300511;0.6510341991718862;0.047189987750161776
74;0.01;modified_huber;100;elasticnet;42;0.6390721044728035;0.05772573079300511;0.6510341991718862;0.047189987750161776
77;0.01;modified_huber;500;elasticnet;42;0.6390721044728035;0.05772573079300511;0.6510341991718862;0.047189987750161776
19;0.0001;modified_huber;100;l2;42;0.6387469256774316;0.06528036477747083;0.6624851748931049;0.06248860044797309
25;0.0001;modified_huber;1000;l2;42;0.637144289658117;0.06460940346682004;0.6546481151876585;0.06106025614427333
22;0.0001;modified_huber;500;l2;42;0.637144289658117;0.06460940346682004;0.6546481151876585;0.06106025614427333
55;0.01;hinge;100;l2;42;0.6363088976622916;0.08025583430896471;0.6626076535417472;0.052473786542007635
71;0.01;log;1000;elasticnet;42;0.6323201591968969;0.05206953523981611;0.6489890597819865;0.044033752971081454
68;0.01;log;500;elasticnet;42;0.6323201591968969;0.05206953523981611;0.6489890597819865;0.044033752971081454
65;0.01;log;100;elasticnet;42;0.6323201591968969;0.05206953523981611;0.6489890597819865;0.044033752971081454
20;0.0001;modified_huber;100;elasticnet;42;0.6314798106110313;0.05015535374492291;0.6499490906284591;0.045217894098692646
28;0.001;hinge;100;l2;42;0.6310017622539685;0.061774707486653375;0.6395213013621448;0.047398289933668514
70;0.01;log;1000;l2;42;0.6263156341226769;0.06297011730741488;0.6619454266303854;0.057011887608228555
67;0.01;log;500;l2;42;0.6263156341226769;0.06297011730741488;0.6619454266303854;0.057011887608228555
31;0.001;hinge;500;l2;42;0.6253983139781065;0.05659234082897383;0.6476070013893656;0.054242243151394524
34;0.001;hinge;1000;l2;42;0.6253983139781065;0.05659234082897383;0.6476070013893656;0.054242243151394524
29;0.001;hinge;100;elasticnet;42;0.6245645937522774;0.047034721819170074;0.658080330347783;0.057105936912983525
35;0.001;hinge;1000;elasticnet;42;0.6245645937522774;0.047034721819170074;0.658080330347783;0.057105936912983525
32;0.001;hinge;500;elasticnet;42;0.6245645937522774;0.047034721819170074;0.658080330347783;0.057105936912983525
23;0.0001;modified_huber;500;elasticnet;42;0.6223468139780346;0.05948427091105649;0.6456708339330572;0.05276835497312634
26;0.0001;modified_huber;1000;elasticnet;42;0.6223468139780346;0.05948427091105649;0.6456708339330572;0.05276835497312634
2;0.0001;hinge;100;elasticnet;42;0.6220177088239718;0.05223801474294746;0.6543787862899098;0.04469289315229628
64;0.01;log;100;l2;42;0.6196404887738397;0.06755945262417506;0.6494445475249631;0.05979907330035297
8;0.0001;hinge;1000;elasticnet;42;0.6193324582946846;0.0484541276060809;0.6537636536747772;0.04374982870167565
5;0.0001;hinge;500;elasticnet;42;0.6193324582946846;0.0484541276060809;0.6537636536747772;0.04374982870167565
89;0.1;hinge;1000;elasticnet;42;0.6146426825053498;0.07138802036349497;0.6471972365358465;0.038618749838416296
86;0.1;hinge;500;elasticnet;42;0.6146426825053498;0.07138802036349497;0.6471972365358465;0.038618749838416296
83;0.1;hinge;100;elasticnet;42;0.6146426825053498;0.07138802036349497;0.6471972365358465;0.038618749838416296
