;param_C;param_class_weight;param_coef0;param_degree;param_gamma;param_kernel;param_probability;param_shrinking;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
3344;10;balanced;1.0;3;scale;rbf;True;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2962;10;balanced;0.0;3;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2961;10;balanced;0.0;3;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3408;10;balanced;1.0;4;scale;rbf;True;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3217;10;balanced;0.5;4;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2967;10;balanced;0.0;3;scale;rbf;False;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3410;10;balanced;1.0;4;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3219;10;balanced;0.5;4;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3026;10;balanced;0.0;4;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3025;10;balanced;0.0;4;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3024;10;balanced;0.0;4;scale;rbf;True;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3029;10;balanced;0.0;4;scale;rbf;False;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3030;10;balanced;0.0;4;scale;rbf;False;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3286;10;balanced;1.0;2;scale;rbf;False;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3285;10;balanced;1.0;2;scale;rbf;False;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3284;10;balanced;1.0;2;scale;rbf;False;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3283;10;balanced;1.0;2;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3282;10;balanced;1.0;2;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3281;10;balanced;1.0;2;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3280;10;balanced;1.0;2;scale;rbf;True;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3351;10;balanced;1.0;3;scale;rbf;False;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3031;10;balanced;0.0;4;scale;rbf;False;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3350;10;balanced;1.0;3;scale;rbf;False;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3223;10;balanced;0.5;4;scale;rbf;False;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3222;10;balanced;0.5;4;scale;rbf;False;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3221;10;balanced;0.5;4;scale;rbf;False;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3220;10;balanced;0.5;4;scale;rbf;False;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3409;10;balanced;1.0;4;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3412;10;balanced;1.0;4;scale;rbf;False;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3411;10;balanced;1.0;4;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2899;10;balanced;0.0;2;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
